Year,Month,Temp max C,Temp min C,Air frost (days),Rain (mm),Sun (hours)
1977,September,18.3,8.1,0,48.60,117.9
1977,October,15.4,9,0,76.00,80.4
1977,November,10.3,4.7,4,147.90,76.4
1977,December,9.6,4.6,2,88.00,25.6
1978,January,7.5,2,6,134.10,64.7
1978,February,6.2,0.9,13,134.10,56.9
1978,March,10.6,3.9,3,121.30,122.4
1978,April,10.9,3.7,4,63.60,118.6
1978,May,17.3,7.5,0,30.60,188.1
1978,June,18.5,9.5,0,29.60,177.3
1978,July,18.7,11.8,0,110.10,115.8
1978,August,19.6,11.4,0,40.50,164.9
1978,September,18.4,10.2,0,34.10,182.2
1978,October,16.6,9,0,12.00,81.1
1978,November,12.5,5.7,4,82.80,49.5
1978,December,8.2,3.4,6,219.50,36.4
1979,January,4.6,-2.9,27,117.80,63.1
1979,February,4.4,-0.4,13,81.90,58.1
1979,March,8.4,2.6,2,112.90,83.2
1979,April,12.3,4.7,3,60.20,152.6
1979,May,13.9,5.9,5,109.80,184.6
1979,June,18.2,9.8,0,25.90,168.9
1979,July,21.1,12.4,0,37.30,224.8
1979,August,18.9,11.2,0,135.40,189.1
1979,September,17.7,9,0,59.10,167.2
1979,October,15.5,8.7,0,88.80,105.7
1979,November,11.2,3.5,5,90.90,59.2
1979,December,10.1,4,8,180.90,46.6
1980,January,6,-0.8,19,96.60,60.8
1980,February,9.9,4.4,1,122.40,44.1
1980,March,8.8,2.8,3,152.60,82.7
1980,April,14.4,4.5,3,15.00,189.1
1980,May,17.7,7.4,0,43.60,208.2
1980,June,18.3,10.3,0,125.80,175.6
1980,July,19,11.2,0,67.20,167.4
1980,August,20,12.6,0,85.80,158.2
1980,September,18.5,11.8,0,99.20,147.9
1980,October,13.3,5.8,0,147.50,108.1
1980,November,9.8,5.1,4,131.80,82.7
1980,December,9.5,3.3,8,108.20,59.4
1981,January,8.8,2.6,7,58.20,50.9
1981,February,6.8,0.7,13,62.90,69
1981,March,11.6,6.7,1,204.10,82.4
1981,April,13.2,5.3,0,37.10,157.5
1981,May,15.4,7.9,0,125.00,111.9
1981,June,17.8,10.6,0,49.50,135.3
1981,July,20,12.7,0,30.10,154.4
1981,August,22.1,12.1,0,27.80,192.9
1981,September,19.3,10.9,0,218.80,144.6
1981,October,12.6,5.5,2,148.40,98.4
1981,November,11.4,5.2,2,72.50,47
1981,December,5.7,-0.3,16,118.70,51.2
1982,January,6.5,0.9,11,85.30,40.2
1982,February,8.8,3.3,4,69.50,52.1
1982,March,10.5,3.2,3,152.40,157.5
1982,April,14.2,4.7,1,31.50,198.1
1982,May,17.3,6.8,1,34.30,211.8
1982,June,20.9,12.2,0,77.70,178.4
1982,July,21.6,13.2,0,29.70,148.2
1982,August,20.1,12.4,0,95.40,157.5
1982,September,19.1,11,0,101.10,126.2
1982,October,13.9,7.9,0,128.90,64.4
1982,November,11.3,6.2,4,193.90,59
1982,December,8.4,2.3,8,166.90,39.6
1983,January,10.2,4.4,2,190.30,33
1983,February,5.5,0.3,15,30.40,86.6
1983,March,10.3,4.1,3,57.20,104.6
1983,April,11.8,3.5,1,97.70,153.4
1983,May,14.2,7.8,0,137.90,96.3
1983,June,19.2,11.2,0,32.20,123
1983,July,25.9,15.1,0,18.00,248.8
1983,August,23.5,13.2,0,34.20,231.2
1983,September,17.1,11,0,185.70,92.7
1983,October,14.5,7.8,1,93.20,113.4
1983,November,10.9,5.9,5,64.30,36.1
1983,December,9.9,3.5,8,122.30,58.1
1984,January,8.3,1.6,8,205.70,70.6
1984,February,7.9,1.8,7,67.30,60.2
1984,March,9.2,2.6,3,31.10,74
1984,April,14.8,3.7,6,9.50,230.1
1984,May,16.1,6.8,0,60.00,168.8
1984,June,20.9,10.6,0,35.90,246.2
1984,July,23.1,12.5,0,14.70,263.3
1984,August,23.3,13.8,0,47.50,197
1984,September,18.3,11,0,149.10,139.8
1984,October,15.3,8.9,1,147.70,83.8
1984,November,11.6,5.8,2,218.20,42.1
1984,December,9.6,2.6,7,115.00,48.9
1985,January,5.4,-1.5,23,88.00,72.4
1985,February,6.6,0.2,14,69.40,74.5
1985,March,9.6,1.9,8,79.20,120.1
1985,April,13.3,5.6,0,71.60,140.6
1985,May,16.6,7.5,0,44.20,179.1
1985,June,17.4,9.7,0,157.40,154
1985,July,21.2,12.5,0,95.90,196.8
1985,August,18.4,12.3,0,186.60,160.6
1985,September,18.9,11,0,64.00,129.5
1985,October,14.7,8.1,0,69.70,84.4
1985,November,8.6,1.1,6,59.50,64.9
1985,December,10.2,4.9,5,175.50,36
1986,January,7.6,2.1,8,153.80,51.5
1986,February,2.1,-2.3,22,6.40,66.6
1986,March,9.7,2.5,4,108.20,120.6
1986,April,10.6,2.7,3,78.40,144.9
1986,May,15,7.6,0,89.10,171.7
1986,June,20.5,10.8,0,60.20,188.1
1986,July,20.2,12.4,0,69.70,172.1
1986,August,17.9,10.6,0,118.10,148.2
1986,September,16.7,7.4,0,20.60,154.8
1986,October,15.1,6.4,2,137.40,85.4
1986,November,12.1,4.3,1,177.60,70.5
1986,December,10.3,3.2,6,179.50,62
1987,January,4.2,-0.6,16,17.00,50.9
1987,February,7.6,1.7,9,111.20,64.5
1987,March,8.6,2.3,8,105.30,104.5
1987,April,15.6,6.6,0,74.70,181.1
1987,May,16.1,6.8,0,36.00,213.5
1987,June,17.6,10.3,0,97.90,155.4
1987,July,21.4,12.3,0,71.00,183.2
1987,August,21.6,12.3,0,36.10,187.2
1987,September,18.6,10.5,0,79.60,132.9
1987,October,14,6.9,3,190.90,97.9
1987,November,10.2,4.9,2,109.40,59.4
1987,December,8.4,4.5,4,91.40,35.6
1988,January,9,3.9,2,222.00,64.4
1988,February,9.3,2,6,74.40,120.9
1988,March,10.8,4.5,4,112.30,97.3
1988,April,13.4,5.1,2,46.60,155.6
1988,May,17.5,7.9,0,79.90,191.4
1988,June,19.8,11.2,0,31.80,168.8
1988,July,18.4,12.2,0,154.40,143.5
1988,August,19.6,11.6,0,140.30,153.1
1988,September,17.7,10.2,0,103.20,147.7
1988,October,14.4,8.4,0,126.40,107
1988,November,10.2,1.9,13,39.40,81.6
1988,December,11,5.6,2,35.60,34
1989,January,9.9,3.7,6,69.60,68.1
1989,February,10.4,2.9,5,127.80,95.9
1989,March,11.9,4.5,2,157.50,98.1
1989,April,11.5,3,5,76.90,143.2
1989,May,19.9,9.8,0,10.10,245.4
1989,June,20.8,10.6,0,41.40,220.5
1989,July,24.7,14.1,0,68.90,267.8
1989,August,22.2,12.2,0,56.80,234.7
1989,September,19.5,10.9,0,68.60,118.7
1989,October,15.7,8.5,0,144.40,66.7
1989,November,10.7,4.3,4,81.90,90
1989,December,8.8,3.3,2,155.20,25.9
1990,January,10.3,4,6,162.20,50.7
1990,February,11,5.6,0,180.60,84.4
1990,March,12.7,5.1,5,23.90,145
1990,April,14.1,3.8,5,25.10,226.9
1990,May,19.9,9.1,0,13.80,270
1990,June,18,10.8,0,94.60,117.9
1990,July,23.7,12.8,0,58.40,297.1
1990,August,23.5,13.4,0,53.90,210.8
1990,September,18.6,8.9,0,71.00,199.8
1990,October,16.1,9.6,0,129.40,95.9
1990,November,10.5,4.2,3,89.20,93.2
1990,December,8.1,2.3,8,98.30,55.6
1991,January,7,1.7,8,128.50,65.1
1991,February,6,-0.8,18,75.50,76.4
1991,March,12,5.5,3,100.70,93.1
1991,April,12.7,5.2,0,95.70,162.7
1991,May,16.7,8.2,0,3.50,157.7
1991,June,16.4,9.4,0,126.00,152.1
1991,July,21.1,13.8,0,83.30,173.7
1991,August,22.2,13.3,0,30.40,212.3
1991,September,20.1,10.8,0,66.80,181
1991,October,13.6,7.2,0,121.20,86.4
1991,November,10.6,3.8,8,118.20,49.8
1991,December,8,3.1,5,49.00,38
1992,January,6.7,1.8,13,41.00,38
1992,February,9.2,2.6,8,46.40,54
1992,March,11.3,4.9,1,76.50,82.9
1992,April,13,5.7,2,83.20,127.8
1992,May,19.3,9.5,0,49.00,245.5
1992,June,22.3,11.1,0,20.70,238.9
1992,July,20.9,13.4,0,90.30,162.7
1992,August,19.4,12.4,0,184.80,151.3
1992,September,17.3,10.6,0,109.90,113.9
1992,October,12,4.6,6,63.20,99.2
1992,November,11.3,4.4,1,220.00,45.9
1992,December,7.3,2.1,11,71.60,47.5
1993,January,10.1,3.6,5,181.80,35.5
1993,February,8.2,3,4,15.30,51.1
1993,March,10.9,3.6,6,26.40,111.3
1993,April,13.5,6.9,1,89.70,105.5
1993,May,16.1,8.4,0,62.70,172.7
1993,June,20.6,11.5,0,64.90,192.9
1993,July,20,11.9,0,135.70,181.4
1993,August,19.6,11,0,40.00,210.3
1993,September,17.4,9.1,0,95.30,142.3
1993,October,12.5,5.8,3,84.40,128
1993,November,9.1,2.8,6,95.10,56.7
1993,December,9.6,3.6,6,249.50,45.8
1994,January,9,3.4,6,175.20,71.3
1994,February,7.3,1.3,10,140.30,60
1994,March,11.3,5.4,1,148.30,122.7
1994,April,13,5.1,3,84.00,188.6
1994,May,15.5,8.4,0,87.20,141.4
1994,June,19.3,10.7,0,45.80,212.6
1994,July,23.1,13.6,0,44.50,226.2
1994,August,20.5,12.5,0,68.00,180.7
1994,September,16.9,10,0,87.80,122.9
1994,October,14.8,6.7,0,139.70,139
1994,November,13.3,8.6,0,146.00,28.4
1994,December,10.6,4.6,5,199.70,43.9
1995,January,8.9,2.9,5,211.30,40.8
1995,February,10.5,4.5,1,138.70,50.6
1995,March,10.7,2.1,8,67.40,157.6
1995,April,14.3,6,3,27.90,174.9
1995,May,17.3,7.3,0,86.20,233.4
1995,June,20.3,10.8,0,8.90,246
1995,July,23.4,14.3,0,44.20,221.7
1995,August,26,14.5,0,9.20,305.4
1995,September,18.4,10,0,122.40,168.3
1995,October,17,10.5,0,106.20,124
1995,November,12,5,4,117.10,83.8
1995,December,5.8,1,12,125.30,42.6
1996,January,6.9,3.4,6,68.40,22
1996,February,6.9,0.3,18,90.80,112.2
1996,March,8.8,2.9,4,59.90,63.6
1996,April,13.8,5.1,1,70.20,---
1996,May,14.4,6,0,97.60,---
1996,June,20.7,9.9,0,18.70,---
1996,July,22.1,12.6,0,49.10,---
1996,August,22,12.4,0,136.70,---
1996,September,18.9,10.6,0,53.50,---
1996,October,15.5,8.9,0,152.60,---
1996,November,10.3,3,12,156.20,---
1996,December,6.8,1.4,12,52.50,---
1997,January,5.8,-0.1,15,15.50,---
1997,February,10.6,3.9,4,181.20,---
1997,March,12.2,5,0,42.30,---
1997,April,15.1,4.9,0,34.00,---
1997,May,17.2,7.8,0,97.90,---
1997,June,18.9,11.6,0,100.20,---
1997,July,22.1,12.5,0,42.60,---
1997,August,23.3,15.5,0,251.00,---
1997,September,19,10.9,0,69.90,---
1997,October,15.1,7.3,3,84.90,---
1997,November,12.4,6.1,2,163.40,---
1997,December,9.9,3.3,8,150.00,---
1998,January,8.8,2.7,9,154.90,---
1998,February,11.6,3.3,5,22.00,---
1998,March,12.3,5.8,1,168.20,---
1998,April,12.2,5.5,1,129.60,---
1998,May,19.2,10.4,0,45.50,---
1998,June,18.1,12,0,157.80,---
1998,July,19.8,12.3,0,66.90,---
1998,August,20.9,12.4,0,59.10,---
1998,September,19.1,11.5,0,118.50,---
1998,October,14.6,7.8,0,228.80,---
1998,November,10.6,3.4,7,118.70,---
1998,December,9.6,1.9,9,130.70,---
1999,January,10.2,2.3,6,208.30,---
1999,February,9.1,2.8,7,64.10,---
1999,March,11.8,3.6,3,70.20,---
1999,April,13.8,5.7,5,109.00,---
1999,May,17.5,9.5,0,75.20,---
1999,June,19.1,8.9,0,71.00,---
1999,July,23.1,13,0,12.90,---
1999,August,21.3,12.7,0,204.00,---
1999,September,20.2,10.9,0,176.40,---
1999,October,15.2,7.3,0,90.30,---
1999,November,11.8,4.5,1,60.50,---
1999,December,9.3,2.2,9,231.00,---
2000,January,8.5,1.2,15,47.80,---
2000,February,10.4,3,6,168.40,---
2000,March,11.8,4.1,3,59.50,---
2000,April,12.3,4.5,1,155.40,---
2000,May,17.2,8.1,0,95.10,---
2000,June,20.2,11.2,0,37.10,---
2000,July,20.8,12.4,0,74.50,---
2000,August,21.9,13,0,73.90,---
2000,September,19.3,11.4,0,156.80,---
2000,October,15,7.1,0,267.60,---
2000,November,11.1,3.2,4,180.40,---
2000,December,9.9,4.6,6,187.70,---
2001,January,7.8,1.8,5,84.00,---
2001,February,10.1,1.7,13,96.50,---
2001,March,9.5,2.8,7,147.50,---
2001,April,12.9,4.5,2,119.10,---
2001,May,18.1,8.7,0,31.60,---
2001,June,20.2,10.2,0,34.80,---
2001,July,21.6,13.1,0,144.60,---
2001,August,21.1,13.6,0,134.30,---
2001,September,18.5,10.5,0,36.50,---
2001,October,17.2,11,0,183.40,---
2001,November,12.2,4,5,86.60,---
2001,December,8.4,1.3,12,36.10,---
2002,January,9.8,3.7,2,142.00,---
2002,February,11.1,4.6,3,187.60,---
2002,March,12.5,5,2,65.10,---
2002,April,14.6,5.6,1,84.70,---
2002,May,16.5,8.5,0,129.80,---
2002,June,18.4,10.6,0,66.00,---
2002,July,20.5,12.5,0,65.90,---
2002,August,21.7,12.9,0,55.90,---
2002,September,19.6,10.7,0,30.50,---
2002,October,14.7,7.1,2,217.10,---
2002,November,12.8,7.1,0,175.60,---
2002,December,8.9,4.6,0,151.10,---
2003,January,8.6,2.3,11,90.60,---
2003,February,8.7,1.9,8,39.90,---
2003,March,13.6,4.5,2,47.10,---
2003,April,16.2,6.2,1,70.30,---
2003,May,16.7,8.4,0,93.00,---
2003,June,21.3,11.7,0,68.40,---
2003,July,22,13.8,0,93.90,---
2003,August,24.5,14.7,0,16.20,---
2003,September,20.5,9.5,0,23.10,---
2003,October,14.4,5.7,7,65.40,---
2003,November,12.5,6,3,105.30,---
2003,December,9.6,3.1,5,138.10,---
2004,January,9.4,3,7,162.20,---
2004,February,9.6,2.9,9,67.30,---
2004,March,11.4,3.8,3,85.60,---
2004,April,14.7,6.3,1,73.80,---
2004,May,18.3,8.8,0,40.00,---
2004,June,21.2,12.3,0,65.90,---
2004,July,20.7,12.6,0,82.50,---
2004,August,22.3,13.7,0,141.70,---
2004,September,19.5,11.6,0,107.40,---
2004,October,15,8.3,0,182.50,---
2004,November,12,6,0,65.60,---
2004,December,9.7,3.5,9,84.50,---
2005,January,10.4,3.9,4,75.00,---
2005,February,8.8,2.4,5,49.50,---
2005,March,11.6,4.8,8,65.20,---
2005,April,14.7,6.6,2,87.60,---
2005,May,17.2,8.3,0,51.60,---
2005,June,20.6,12.2,0,76.60,---
2005,July,22.2,13.9,0,69.90,---
2005,August,21.9,11.6,0,55.60,---
2005,September,20.4,11.6,0,82.80,---
2005,October,16.6,11.4,0,160.00,---
2005,November,10.9,3,11,106.10,---
2005,December,9.3,2.4,5,114.70,---
2006,January,8,2.9,4,36.00,---
2006,February,7.7,2.3,6,59.00,---
2006,March,9.5,3.5,5,121.80,---
2006,April,14.1,6.2,3,35.10,---
2006,May,17,8.9,0,159.20,---
2006,June,21.9,11.8,0,47.40,---
2006,July,25.5,14.5,0,65.60,---
2006,August,21.1,13.2,0,58.90,---
2006,September,21.3,12.7,0,43.40,---
2006,October,16.8,8.8,0,178.10,---
2006,November,12.5,3.6,5,178.10,---
2006,December,10.1,3.9,5,147.10,---
2007,January,10.5,4.2,2,178.90,---
2007,February,10,3.7,7,152.30,---
2007,March,12.6,4.3,1,89.50,---
2007,April,18.4,7,0,21.80,---
2007,May,17.4,8.7,0,128.50,---
2007,June,20.1,12.1,0,104.70,---
2007,July,19.3,12.6,0,173.80,---
2007,August,21.1,11.7,0,71.30,---
2007,September,18.5,10.2,0,53.10,---
2007,October,14.9,6.7,0,57.00,---
2007,November,12,4.9,3,88.40,---
2007,December,9,2.9,9,171.50,---
2008,January,10.6,4.4,1,170.60,---
2008,February,10.2,2.4,7,44.50,---
2008,March,10.8,3.9,2,98.70,---
2008,April,13.9,4.7,5,59.90,---
2008,May,19.4,9.9,0,95.30,---
2008,June,19.7,10.5,0,63.80,---
2008,July,21.2,12.6,0,138.40,---
2008,August,20.3,13.1,0,170.20,---
2008,September,18.8,10.1,0,197.80,---
2008,October,15.2,6.1,3,113.00,---
2008,November,11.5,5.8,1,93.30,---
2008,December,7,0.6,18,64.60,---
2009,January,6.6,0.4,17,153.50,---
2009,February,7.7,1.9,12,43.60,---
2009,March,11,2.6,4,51.80,---
2009,April,13.9,5.9,1,53.50,---
2009,May,17.1,8.5,0,68.00,---
2009,June,21,11.5,0,114.80,---
2009,July,20.2,13.1,0,194.10,---
2009,August,20.7,13,0,76.00,---
2009,September,19.1,10.6,0,34.70,---
2009,October,16.3,8.6,0,73.60,---
2009,November,12.6,6.5,0,220.40,---
2009,December,7.2,0.4,15,114.90,---
2010,January,5.7,-1.1,15,73.50,---
2010,February,7.3,0.8,7,72.10,---
2010,March,10.8,2.8,10,72.60,---
2010,April,15.1,5,0,28.70,---
2010,May,17.1,7.5,1,28.50,---
2010,June,21.9,11.1,0,21.90,---
2010,July,22,13.7,0,88.00,---
2010,August,20.6,12,0,144.60,---
2010,September,18.6,10.2,0,94.80,---
2010,October,14.8,7.4,2,82.80,---
2010,November,9.4,2.7,8,101.00,---
2010,December,3.9,-3.4,24,39.80,---
2011,January,7.3,1.6,11,122.20,---
2011,February,10.2,4.7,3,80.40,---
2011,March,12,3.8,5,22.60,---
2011,April,18.2,8,0,5.10,---
2011,May,16.8,9,0,56.70,---
2011,June,18.7,10.3,0,88.90,---
2011,July,20.7,11.8,0,80.60,---
2011,August,19.9,12,0,64.40,---
2011,September,19.4,12.1,0,97.80,---
2011,October,16.9,9.9,0,81.60,---
2011,November,13.4,7.7,0,84.00,---
2011,December,10.2,3.7,5,145.20,---
2012,January,9.6,3.8,7,140.40,---
2012,February,8.5,1.7,11,35.80,---
2012,March,13.9,4.6,2,27.20,---
2012,April,12.5,4.4,1,160.00,---
2012,May,17.4,8.5,0,66.80,---
2012,June,17.9,11.6,0,180.80,---
2012,July,20.1,11.9,0,123.20,---
2012,August,20.9,13.8,0,117.40,---
2012,September,17.9,9.2,0,94.60,---
2012,October,13.9,7,1,158.20,---
2012,November,10.9,4,4,162.60,---
2012,December,9.4,2.5,12,229.40,---
2013,January,7.3,2.4,10,145.00,---
2013,February,7,1.3,6,56.60,---
2013,March,7.1,1.1,13,107.00,---
2013,April,12.1,4.1,3,46.20,---
2013,May,16,6.8,0,89.20,---
2013,June,19.1,10.9,0,39.20,---
2013,July,25,14.5,0,25.90,---
2013,August,22,12.9,0,74.20,---
2013,September,18.7,10.9,0,68.20,---
2013,October,16.7,10.2,0,230.60,---
2013,November,10.8,3.1,6,93.80,---
2013,December,10.6,3.3,4,159.60,---
2014,January,9.6,3.2,5,234.60,---
2014,February,10.1,4.1,1,161.40,---
2014,March,12.3,3.8,3,61.60,---
2014,April,15.1,6.9,0,100.00,---
2014,May,17.1,9.1,0,135.60,---
2014,June,21.3,12.1,0,76.80,---
2014,July,23.6,13.7,0,39.80,---
2014,August,19.9,11.4,0,185.10,---
2014,September,20.7,11.5,0,14.20,---
2014,October,16.4,10.1,0,122.60,---
2014,November,12.4,6.3,2,155.80,---
2014,December,9.6,2.1,11,109.80,---
2015,January,9,2.2,8,158.20,---
2015,February,8.3,1.3,9,124.20,---
2015,March,11,3.5,3,55.80,---
2015,April,16.1,6,0,9.80,---
2015,May,15.9,7.9,0,155.60,---
2015,June,19.6,10.8,0,50.40,---
2015,July,20.2,12.4,0,107.60,---
2015,August,20.3,12.3,0,129.00,---
2015,September,18.3,9.1,0,57.00,---
2015,October,15.6,8.2,0,47.40,---
2015,November,13.3,7.7,3,223.80,---
2015,December,13.2,8.7,0,191.40,---
2016,January,9.6,2.9,7,221.00,---
2016,February,9.4,2.2,10,129.20,---
2016,March,10.7,2.5,7,96.00,---
2016,April,13.2,4.7,2,46.60,---
2016,May,18.5,9,0,109.60,---
2016,June,19.9,12.7,0,109.80,---
2016,July,21.3,13.4,0,25.20,---
2016,August,21.6,13.2,0,95.20,---
2016,September,20.1,13,0,109.00,---
2016,October,15,7.8,0,41.80,---
2016,November,10.3,3.5,4,152.20,---
2016,December,9.6,3,7,56.20,---
2017,January,8.3,2,11,76.00,---
2017,February,9.4,4.2,4,81.00,---
2017,March,12.6,5.7,1,114.60,---
2017,April,15,4.9,2,14.20,---
2017,May,18.5,9.9,0,76.20,---
2017,June,20.9,12.6,0,84.80,---
2017,July,21.4,13.1,0,116.80,---
2017,August,20.5,12.2,0,69.40,---
2017,September,18.3,10.2,0,102.80,---
2017,October,16.4,10.1,0,49.60,---
2017,November,11.8,3.5,5,82.20,---
2017,December,9.3,2.8,11,152.90,---
2018,January,9.4,2.7,9,153.20,---
2018,February,7.5,0.8,14,50.00,---
2018,March,9.1,2.5,6,163.40,---
2018,April,14,7.2,0,129.40,---
2018,May,19,8.8,0,56.20,---
2018,June,22.6,12.7,0,8.40,---
2018,July,25.4,14.7,0,46.00,---
2018,August,21.4,13.1,0,129.80,---
2018,September,18.7,10.1,0,89.80,---
2018,October,15.6,6.9,3,48.00,---
2018,November,11.9,5.9,1,121.00,---
2018,December,10.6,5.5,1,196.40,---
2019,January,8.1,1.8,14,43.40,---
2019,February,12.2,2.4,8,77.40,---
2019,March,12.7,5.2,0,139.60,---
2019,April,15,6.3,1,84.40,---
2019,May,17.6,7.2,0,37.00,---
2019,June,19.2,11.5,0,84.60,---
2019,July,23.7,13.9,0,83.60,---
2019,August,21.9,13.7,0,137.40,---
2019,September,19.5,11.3,0,159.80,---